Rank,Major,Early Career Pay,Mid-Career Pay,% High Meaning
1,Petroleum Engineering,"$93,200","$187,300",67%
2,Operations Research & Industrial Engineering,"$84,800","$170,400",28%
3,Electrical Engineering & Computer Science (EECS),"$108,500","$159,300",46%
4,Interaction Design,"$68,300","$155,800",55%
5,Public Accounting,"$59,800","$147,700",47%
6,Operations Research,"$83,500","$147,400",54%
7,Applied Economics and Management,"$66,100","$146,400",67%
8,Business Computing (BC),"$73,000","$143,600",-
9,Actuarial Mathematics,"$64,300","$143,400",51%
10,Electrical Power Engineering,"$76,100","$142,600",68%
11,Information & Computer Science,"$58,600","$140,900",62%
12,Aeronautics & Astronautics,"$77,600","$139,600",56%
13,Systems Engineering,"$77,700","$139,200",53%
14,Econometrics,"$64,200","$139,000",35%
15,Pharmacy,"$68,600","$138,700",78%
16,Aerospace Studies,"$55,800","$136,600",-
17,Building Science,"$53,800","$135,900",53%
17,Chemical Engineering,"$76,900","$135,900",55%
19,Cognitive Science,"$68,700","$135,200",42%
20,Actuarial Science,"$67,700","$134,400",43%
21,Political Economy,"$65,100","$133,500",29%
22,Computer Systems Engineering,"$79,000","$133,200",51%
23,Electrical & Computer Engineering (ECE),"$78,100","$131,600",49%
24,Computer Science (CS) & Engineering,"$79,400","$131,300",44%
25,Marine Engineering,"$79,900","$131,300",60%
